node_004,1424741012.989,41540.0,26.58,0.0,7.048,824.6,101272,23.5,103.47,24.16,4.68921106384,30,785,328,e37698a6
node_004,1424741017.106,41510.0,26.56,0.0,7.049,824.3,101283,23.5,103.44,24.16,4.50730233733,28,729,324,50898dc0
node_004,1424741021.229,41450.0,26.52,0.0,7.052,824.7,101279,23.5,103.49,24.16,3.96157507351,34,805,337,2f4b7283
node_004,1424741025.358,41610.0,26.63,0.0,7.048,824.9,101274,23.5,103.47,24.17,4.16369660359,30,808,329,a42fb18e
node_004,1424741029.475,41800.0,26.77,0.0,7.044,824.9,101277,23.5,103.48,24.17,0,34,783,337,60a5163c
node_004,1424741033.597,42060.0,26.95,0.0,7.044,824.9,101271,23.5,103.47,24.17,0,23,708,313,0608beb0
node_004,1424741037.716,42600.0,27.33,0.0,7.043,824.5,101274,23.5,103.47,24.16,4.12327208072,37,829,345,b5d8905c
node_004,1424741041.857,42840.0,27.51,0.0,7.044,824.7,101277,23.5,103.47,24.16,1.11166952287,42,861,357,4688859b
node_004,1424741045.987,43100.0,27.69,0.0,7.047,824.8,101271,23.5,103.47,24.17,4.36581704942,36,802,344,a61747c2
node_004,1424741050.120,43360.0,27.88,0.0,7.044,824.8,101274,23.5,103.44,24.16,0,30,810,334,8009c92a
node_004,1424741054.239,43740.0,28.15,0.0,7.047,824.8,101268,23.5,103.46,24.16,0,22,758,310,19416cff
node_004,1424741058.363,43840.0,28.22,0.0,7.052,824.8,101276,23.5,103.43,24.17,3.05203035666,24,743,314,3c3a63ce
node_004,1424741062.480,44130.0,28.43,0.0,7.049,825.1,101275,23.5,103.46,24.17,2.66800118432,26,738,320,2415f708
