2015-02-23T01:17:34.595000	Logging begins
2015-02-23T01:17:53.361000	User interrupted
2015-02-23T01:17:53.361000	Logging terminated
2015-02-23T01:26:51.525000	Logging begins
2015-02-23T01:27:20.257000	Logging begins
2015-02-23T01:27:30.928000	User interrupted
2015-02-23T01:27:30.928000	Logging terminated
2015-02-23T01:27:45.070000	Logging begins
2015-02-23T01:27:49.391000	User interrupted
2015-02-23T01:27:49.391000	Logging terminated
2015-02-23T03:58:46.970000	Logging begins
2015-02-23T03:59:00.921000	User interrupted
2015-02-23T03:59:00.921000	Logging terminated
2015-02-23T03:59:06.202000	Logging begins
2015-02-23T03:59:08.132000	User interrupted
2015-02-23T03:59:08.132000	Logging terminated
2015-02-23T03:59:53.557000	Logging begins
2015-02-23T03:59:54.767000	User interrupted
2015-02-23T03:59:54.767000	Logging terminated
2015-02-23T04:00:15.601000	Logging begins
2015-02-23T04:01:33.342000	Logging begins
2015-02-23T04:01:35.152000	User interrupted
2015-02-23T04:01:35.152000	Logging terminated
2015-02-23T04:02:10.656000	Logging begins
2015-02-23T04:02:13.296000	User interrupted
2015-02-23T04:02:13.296000	Logging terminated
2015-02-23T04:02:53.783000	Logging begins
2015-02-23T04:02:56.183000	User interrupted
2015-02-23T04:02:56.183000	Logging terminated
2015-02-23T04:03:32.569000	Logging begins
2015-02-23T04:03:34.739000	User interrupted
2015-02-23T04:03:34.739000	Logging terminated
2015-02-23T04:05:13.352000	Logging begins
2015-02-23T04:05:15.303000	User interrupted
2015-02-23T04:05:15.303000	Logging terminated
2015-02-23T04:05:39.665000	Logging begins
2015-02-23T04:05:44.116000	User interrupted
2015-02-23T04:05:44.116000	Logging terminated
2015-02-23T04:06:42.984000	Logging begins
2015-02-23T04:06:45.474000	User interrupted
2015-02-23T04:06:45.474000	Logging terminated
2015-02-23T04:08:55.826000	Logging begins
2015-02-23T04:08:57.326000	User interrupted
2015-02-23T04:08:57.326000	Logging terminated
2015-02-23T04:21:11.387000	Logging begins
2015-02-23T04:21:25.488000	User interrupted
2015-02-23T04:21:25.488000	Logging terminated
